"Category","Attribute","CurrentValue","PossibleValues","Description","Path"
"SystemInformation","BIOSVersion","1.30.2","","Displays the current revision of the system BIOS firmware.","DellSmbios:\SystemInformation\BIOSVersion"
"SystemInformation","SvcTag","F252C14","","The Service Tag is the system's serial number that uniquely identifies the Dell system.","DellSmbios:\SystemInformation\SvcTag"
"SystemInformation","Asset","","","An Asset Tag is a string of 0 to 64 characters in length that can be used by an IT administrator to uniquely identify a particular system. NOTE: Some systems may support maximum length of an asset tag as 10 or 12 characters.","DellSmbios:\SystemInformation\Asset"
"SystemInformation","OwnershipTag","","","The Ownership Tag is a string of 0 to 80 characters in length that can be used by a user/customer to display a system-specific message on the BIOS start-up and setup screens.","DellSmbios:\SystemInformation\OwnershipTag"
"SystemInformation","ManufactureDate","01.10.2024","","Displays the system manufacture date (mmddyyyy).","DellSmbios:\SystemInformation\ManufactureDate"
"SystemInformation","OwnershipDate","02.16.2024","","This field displays the date (mmddyyyy) the system was first powered-on after leaving the factory.","DellSmbios:\SystemInformation\OwnershipDate"
"SystemInformation","ExpressServiceCode","32781174376","","The Express Service Code is a mathematical hash applied to the service tag. The Express Service Code is seen in BIOS Setup and on an exterior sticker (customer systems).","DellSmbios:\SystemInformation\ExpressServiceCode"
"MemoryInformation","MemoryInstalled","32.0 GB","","Displays the amount of main memory physically installed in the system.","DellSmbios:\MemoryInformation\MemoryInstalled"
"MemoryInformation","MemoryAvailable","5,2 GB","","Displays the amount of main memory available to the operating system. NOTE: Due to an amount of memory being assigned for the system use, Memory Available is less then Memory Installed. Note that certain operating system may not be able to use all the available memory.","DellSmbios:\MemoryInformation\MemoryAvailable"
"MemoryInformation","MemoryTechnology","TBD","","Displays the technology of the main memory installed in the system.","DellSmbios:\MemoryInformation\MemoryTechnology"
"MemoryInformation","DIMMASize","4096MB","","Displays the amount of main memory physically installed in the DIMM slot A.","DellSmbios:\MemoryInformation\DIMMASize"
"MemoryInformation","DIMMBSize","4096MB","","Displays the amount of main memory physically installed in the DIMM slot B.","DellSmbios:\MemoryInformation\DIMMBSize"
"MemoryInformation","DIMMCSize","4096MB","","Displays the amount of main memory physically installed in the DIMM slot C.","DellSmbios:\MemoryInformation\DIMMCSize"
"MemoryInformation","DIMMDSize","4096MB","","Displays the amount of main memory physically installed in the DIMM slot D.","DellSmbios:\MemoryInformation\DIMMDSize"
"ProcessorInformation","ProcessorType","Intel(R) Core(TM) i5 processor","","","DellSmbios:\ProcessorInformation\ProcessorType"
"ProcessorInformation","ProcessorId","BFEBFBFF000B06A3","","","DellSmbios:\ProcessorInformation\ProcessorId"
"ProcessorInformation","MaximumClockSpeed","4.7GHz","","","DellSmbios:\ProcessorInformation\MaximumClockSpeed"
"ProcessorInformation","CurrentClockSpeed","4.356GHz","","","DellSmbios:\ProcessorInformation\CurrentClockSpeed"
"ProcessorInformation","CoreCount","10","","","DellSmbios:\ProcessorInformation\CoreCount"
"ProcessorInformation","64BitTechnology","Yes(Intel EM64T)","","","DellSmbios:\ProcessorInformation\64BitTechnology"
"ProcessorInformation","HTCapable","Yes","","","DellSmbios:\ProcessorInformation\HTCapable"
"ProcessorInformation","ProcessorL2Cache","4096 KB","","","DellSmbios:\ProcessorInformation\ProcessorL2Cache"
"ProcessorInformation","ProcessorL3Cache","12288 KB","","","DellSmbios:\ProcessorInformation\ProcessorL3Cache"
"BatteryInformation","PercentCharged","99%","","","DellSmbios:\BatteryInformation\PercentCharged"
"BootSequence","BootList","UEFI BOOT","Legacy; Uefi","Boot List option determines the boot mode of the system. Uefi - Enables booting to Unified Extensible Firmware Interface (UEFI) capable operating systems. Legacy (the default) - Ensures compatibility with OSes that do not support UEFI. NOTE: Legacy boot mode is not allowed when secure boot is enabled or Legacy Option ROM is disabled.","DellSmbios:\BootSequence\BootList"
"BootSequence","BootSequence","Dell.Smbios.PowerShell.Providers.BootDevice[]","","Specifies the order in which a system searches for devices when trying to find an operating system to boot. The Boot Sequence option allows users to customize the boot order and boot ability of boot devices. The UEFI BIOS allows the selection of UEFI boot paths or Legacy boot devices.","DellSmbios:\BootSequence\BootSequence"
"AdvancedBootOptions","UefiBootPathSecurity","AlwaysExceptInternalHdd","Never; Always; AlwaysExceptInternalHdd; AlwaysExceptInternalHddPxe","UefiBootPathSecurity determines whether the system must prompt you to enter the Admin password. This occurs when the UefiBootPathSecurity is set while booting from a UEFI boot path (from the F12 Boot Menu).
AlwaysExceptInternalHddPxe - All UEFI boot paths require the Admin password, except for boot paths hosted on internal hard disk drives or PXE Boot.
AlwaysExceptInternalHdd - All UEFI boot paths requires the Admin password, except for the boot paths that are hosted on an internal hard disk drive.
Always - Booting from any UEFI boot path requires the Admin password.
Never - The Admin password is not required for booting from UEFI boot paths.
","DellSmbios:\AdvancedBootOptions\UefiBootPathSecurity"
"BIOSSetupAdvancedMode","AdvancedMode","Enabled","Disabled; Enabled","Enabling BIOS Setup Advanced Mode will make all BIOS settings visible.","DellSmbios:\BIOSSetupAdvancedMode\AdvancedMode"
"SystemConfiguration","MicMuteLed","Disabled","Disabled; Enabled","Enables or disables the LED status of Microphone.
","DellSmbios:\SystemConfiguration\MicMuteLed"
"SystemConfiguration","UefiNwStack","Enabled","Disabled; SelEnabled; Enabled","This option is disabled by default. If enabled, UEFI Networking Protocols are installed/available, allowing pre-OS and early OS networking features to use the enabled NICs. This option may be used without turning on PXE.","DellSmbios:\SystemConfiguration\UefiNwStack"
"SystemConfiguration","EmbSataRaid","Ahci","Disabled; Ahci; Raid","Configures the operating mode of the integrated SATA hard drive controller. Disabled - The SATA controllers are hidden. Ata - SATA is configured for ATA mode. Ahci - SATA is configured for AHCI mode. Raid - SATA is configured to support RAID mode (Intel Rapid Restore Technology).","DellSmbios:\SystemConfiguration\EmbSataRaid"
"SystemConfiguration","SmartErrors","Disabled","Disabled; Enabled","Controls whether hard drive errors for integrated drives are reported during system startup.","DellSmbios:\SystemConfiguration\SmartErrors"
"SystemConfiguration","UsbPowerShare","Enabled","Disabled; Enabled","Configures the USB PowerShare feature behavior. Enabled - Charges the external devices, such as phones and portable music players, using the stored system battery when the system is turned off or in sleep mode. This feature works only if  (1) The device is connected through the USB Powershare port on the notebook. (2) The system is connected with AC power. (3) The battery charge is above 50 percent. Disabled - Turns this feature off and devices attached to the USB PowerShare port will not be charged when the system is in a sleep mode or turned off.","DellSmbios:\SystemConfiguration\UsbPowerShare"
"SystemConfiguration","IntegratedAudio","Enabled","Disabled; Enabled","Enables or disables the integrated audio controller.","DellSmbios:\SystemConfiguration\IntegratedAudio"
"SystemConfiguration","InternalSpeaker","Enabled","Disabled; Enabled","Enables or disables the built-in speaker.","DellSmbios:\SystemConfiguration\InternalSpeaker"
"SystemConfiguration","Microphone","Enabled","Disabled; Enabled","Enables or disables the internal or external microphone.","DellSmbios:\SystemConfiguration\Microphone"
"SystemConfiguration","KeyboardIllumination","Bright","Disabled; Dim; Bright","Configures the the keyboard illumination brightness percentage. The keyboard automatically illuminates when the internal keyboard, touchpad or pointstick are used. Off - Turns the keyboard illumination off. Brightness levels - Specify the percentage (25, 50, 75, 100) to adjust the brightness level. Auto - Keyboard illumination is automatically adjusted based on ambience light leavel. NOTE - Auto option requires ambience light sensor that may not be available on all systems.","DellSmbios:\SystemConfiguration\KeyboardIllumination"
"SystemConfiguration","UnobtrusiveMode","Disabled","Disabled; Enabled","Enables or disables the toggling light emissions using hotkey Fn+B. Enabled - Pressing Fn+B will toggle light emissions from the system. Disabled - Pressing Fn+B keys has no effect and will not toggle light emissions from the system.","DellSmbios:\SystemConfiguration\UnobtrusiveMode"
"SystemConfiguration","M2PcieSsd0","Enabled","Disabled; Enabled","Enables or disables M2 PCIE SSD 0","DellSmbios:\SystemConfiguration\M2PcieSsd0"
"SystemConfiguration","KbdBacklightTimeoutBatt","10s","5s; 10s; 15s; 30s; 1m; 5m; 15m; Never","Configures the timeout value for the keyboard backlight when the system is running only on battery power. Possible values are: 5s - Keyboard backlight stays on for 5 seconds. 10s - Keyboard backlight stays on for 10 seconds. 15s - Keyboard backlight stays on for 15 seconds. 30s - Keyboard backlight stays on for 30 seconds. 1m - Keyboard backlight stays on for 1 minute. 5m - Keyboard backlight stays on for 5 minutes. 15m - Keyboard backlight stays on for 15 minutes. Never - keyboard backlight always stays on.","DellSmbios:\SystemConfiguration\KbdBacklightTimeoutBatt"
"SystemConfiguration","KbdBacklightTimeoutAc","10s","5s; 10s; 15s; 30s; 1m; 5m; 15m; Never","Configures the timeout value for the keyboard backlight when an AC adapter is plugged into the system. Possible values are: 5s - Keyboard backlight stays on for 5 seconds. 10s - Keyboard backlight stays on for 10 seconds. 15s - Keyboard backlight stays on for 15 seconds. 30s - Keyboard backlight stays on for 30 seconds. 1m - Keyboard backlight stays on for 1 minute. 5m - Keyboard backlight stays on for 5 minutes. 15m - Keyboard backlight stays on for 15 minutes. Never - keyboard backlight always stays on.","DellSmbios:\SystemConfiguration\KbdBacklightTimeoutAc"
"MiscellaneousDevices","Camera","Enabled","Disabled; Enabled","Enables or disables the camera.","DellSmbios:\MiscellaneousDevices\Camera"
"USBConfiguration","UsbEmu","Enabled","Disabled; Enabled","If Boot Support is enabled, the system allows to boot any type of USB Mass Storage devices( hard drive, memory key or floppy). USB-aware OS always see USB Mass Storage devices irrespective of this setting, provided the port is enabled.","DellSmbios:\USBConfiguration\UsbEmu"
"USBConfiguration","UsbPortsExternal","Enabled","Disabled; Enabled","Enabled - Devices attached to this USB port is enabled and available in the operating system. Disabled - Devices attached to this USB port is disabled and not visible in the operating system. NOTE: USB mouse and keyboard will work even if the External USB Port is disabled.","DellSmbios:\USBConfiguration\UsbPortsExternal"
"USBConfiguration","ThunderboltPorts","Enabled","Disabled; Enabled","Enables or disables the thunderbolt controller in system.","DellSmbios:\USBConfiguration\ThunderboltPorts"
"USBConfiguration","ThunderboltBoot","Disabled","Disabled; Enabled","Enables or disables booting from the Thunderbolt device.","DellSmbios:\USBConfiguration\ThunderboltBoot"
"USBConfiguration","ThunderboltPreboot","Disabled","Disabled; Enabled","Enables OROMs and pre-boot UEFI drivers provided by Thunderbolt devices or PCIe devices.","DellSmbios:\USBConfiguration\ThunderboltPreboot"
"Video","BrightnessBattery","5","0-15","Sets the panel brightness to be used when the system is using battery power only. 0 means panel brightness will be 0% and 15 means panel brightness will be 100%.","DellSmbios:\Video\BrightnessBattery"
"Video","BrightnessAc","7","0-15","Sets the panel brightness to be used when the system is using AC power. 0 means panel brightness will be 0% and 15 means panel brightness will be 100%.","DellSmbios:\Video\BrightnessAc"
